id,batteryHealth,binId,binStatus,currentFillLevel,latLong,timesTamp
1,10,CleanFLEX-FB2000002008AC01,"Half Full",42,"-33.919135, 151.258104","2021-10-06 21:00:05"
2,100,CleanFLEX-FB2000002008AC02,Low,20,"-33.920227, 151.257692","2021-10-06 21:00:05"
3,95,CleanCUBE-A1905081905AA07,"Half Full",55,NULL,"2021-10-06 21:00:05"
4,100,CleanFLEX-FB2000001911AA89,Full,92,NULL,"2021-10-06 21:00:05"
5,10,CleanFLEX-FB1000001906AA19,Full,100,NULL,"2021-10-06 21:00:05"
6,10,CleanFLEX-FB1000001906AA18,Low,14,NULL,"2021-10-06 21:00:05"
7,100,CleanFLEX-FB2000002008AC12,Low,11,"-33.919727, 151.257213","2021-10-06 21:00:05"
8,100,CleanFLEX-FB2000002008AC03,"Half Full",42,"-33.918951, 151.25847","2021-10-06 21:00:05"
9,100,CleanFLEX-FB2000002008AC17,"Half Full",32,"-33.91947, 151.257542","2021-10-06 21:00:05"
10,95,CleanFLEX-FB2000002005AB67,"Half Full",40,"-33.920816, 151.257022","2021-10-06 21:00:05"
11,100,CleanFLEX-FB2000002008AC05,Low,21,"-33.919505, 151.257857","2021-10-06 21:00:05"
12,95,CleanFLEX-FB2000002005AB63,Low,16,"-33.919505, 151.257857","2021-10-06 21:00:05"
13,95,CleanCUBE-A1905081905AA02,Low,0,NULL,"2021-10-06 21:00:05"
14,95,CleanFLEX-FB2000002005AB68,Low,29,"-33.919477, 151.257681","2021-10-06 21:00:05"
15,95,CleanCUBE-A1807111808AA01,Low,7,NULL,"2021-10-06 21:00:05"
16,100,CleanFLEX-FB2000002008AC14,"Half Full",32,"-33.920358, 151.257167","2021-10-06 21:00:05"
17,35,CleanFLEX-FB2000002008AC07,"Half Full",33,"-33.919555, 151.258164","2021-10-06 21:00:05"
18,95,CleanFLEX-FB2000002008AC08,Low,17,"-33.919477, 151.257681","2021-10-06 21:00:05"
19,100,CleanFLEX-FB2000001911AA90,Full,100,NULL,"2021-10-06 21:00:05"
20,95,CleanCUBE-A1905081905AA26,Low,10,NULL,"2021-10-06 21:00:05"
21,95,CleanFLEX-FB2000002005AB69,"Half Full",54,"-33.920227, 151.257692","2021-10-06 21:00:05"
22,95,CleanFLEX-FB2000002005AB70,Low,29,"-33.919555, 151.258164","2021-10-06 21:00:05"
23,100,CleanFLEX-FB2000002008AC18,"Half Full",36,"-33.919555, 151.258164","2021-10-06 21:00:05"
24,100,CleanFLEX-FB2000002008AC15,"Half Full",50,"-33.920358, 151.257167","2021-10-06 21:00:05"
25,95,CleanFLEX-FB2000002005AB65,Low,27,"-33.920944, 151.257001","2021-10-06 21:00:05"
26,100,CleanFLEX-FB2000002008AC16,Low,13,"-33.919477, 151.257681","2021-10-06 21:00:05"
27,95,CleanFLEX-FB2000002005AB71,Low,7,"-33.922367, 151.256956","2021-10-06 21:00:05"
28,95,CleanFLEX-FB2000002005AB62,Low,8,"-33.91947, 151.257542","2021-10-06 21:00:05"
29,95,CleanCUBE-A1808201809AA03,"Half Full",42,NULL,"2021-10-06 21:00:05"
30,100,CleanFLEX-FB2000001911AA87,Full,100,NULL,"2021-10-06 21:00:05"
31,100,CleanFLEX-FB2000001911AA88,Full,100,NULL,"2021-10-06 21:00:05"
32,100,CleanCUBE-A1907221908AA73,Low,16,NULL,"2021-10-06 21:00:05"
33,100,CleanCUBE-A1905081905AA06,Low,12,NULL,"2021-10-06 21:00:05"
34,100,CleanCUBE-A1905081905AA09,Low,15,NULL,"2021-10-06 21:00:05"
35,100,CleanCUBE-A1905081905AA00,Low,16,NULL,"2021-10-06 21:00:05"
36,95,CleanCUBE-A1905081905AA13,Low,13,NULL,"2021-10-06 21:00:05"
37,100,CleanCUBE-A1905081905AA19,Low,8,NULL,"2021-10-06 21:00:05"
38,100,CleanFLEX-FB2000002008AC10,"Half Full",64,"-33.920227, 151.257692","2021-10-06 21:00:05"
39,100,CleanFLEX-FB2000002008AC13,"Half Full",44,"-33.920034, 151.257165","2021-10-06 21:00:05"
40,100,CleanFLEX-FB2000002008AC00,"Half Full",30,"-33.918951, 151.25847","2021-10-06 21:00:05"
41,100,CleanFLEX-FB2000002008AC04,"Half Full",30,"-33.919505, 151.257857","2021-10-06 21:00:05"
42,100,CleanFLEX-FB2000002008AC06,Full,88,"-33.91947, 151.257542","2021-10-06 21:00:05"
43,100,CleanFLEX-FB2000002008AC09,Low,12,"-33.919135, 151.258104","2021-10-06 21:00:05"
44,100,CleanFLEX-FB2000002008AC19,Low,13,"-33.920289, 151.257056","2021-10-06 21:00:05"
45,100,CleanFLEX-FB2000001911AA91,Full,100,NULL,"2021-10-06 21:00:05"
46,95,CleanFLEX-FB2000002008AC20,"Half Full",51,"-33.920372, 151.257036","2021-10-06 21:00:05"
47,95,CleanFLEX-FB2000002005AB64,"Half Full",50,"-33.920816, 151.257022","2021-10-06 21:00:05"
48,95,CleanFLEX-FB2000002005AB66,Low,18,"-33.920944, 151.257001","2021-10-06 21:00:05"
49,95,CleanCUBE-A1811211812AA04,Low,0,NULL,"2021-01-23 04:00:03"
50,100,CleanCUBE-D1905281906AA03,"Half Full",42,NULL,"2021-01-23 04:00:03"
51,10,CleanFLEX-FB2000002008AC01,"Half Full",42,"-33.919135, 151.258104","2021-10-06 21:00:05"
52,100,CleanFLEX-FB2000002008AC02,Low,20,"-33.920227, 151.257692","2021-10-06 21:00:05"
53,95,CleanCUBE-A1905081905AA07,"Half Full",55,NULL,"2021-10-06 21:00:05"
54,100,CleanFLEX-FB2000001911AA89,Full,92,NULL,"2021-10-06 21:00:05"
