id,batteryHealth,binId,binStatus,currentFillLevel,latLong,timesTamp
1,95,CleanCUBE-A1905081905AA07,"Half Full",55,NULL,"2021-09-21 13:00:03"
2,100,CleanFLEX-FB2000001911AA89,Full,92,NULL,"2021-09-21 13:00:03"
3,10,CleanFLEX-FB1000001906AA19,Full,100,NULL,"2021-09-21 13:00:03"
4,10,CleanFLEX-FB1000001906AA18,Low,14,NULL,"2021-09-21 13:00:03"
5,95,CleanCUBE-A1905081905AA02,Low,0,NULL,"2021-09-21 13:00:03"
6,100,CleanFLEX-FB2000002008AC03,Low,28,"-33.918951, 151.25847","2021-09-21 13:00:03"
7,100,CleanFLEX-FB2000002008AC05,"Half Full",36,"-33.919505, 151.257857","2021-09-21 13:00:03"
8,100,CleanFLEX-FB2000002008AC01,Low,18,"-33.919135, 151.258104","2021-09-21 13:00:03"
9,100,CleanFLEX-FB2000002008AC02,Low,29,"-33.920227, 151.257692","2021-09-21 13:00:03"
10,100,CleanFLEX-FB2000002008AC12,Low,13,"-33.919727, 151.257213","2021-09-21 13:00:03"
11,95,CleanFLEX-FB2000002005AB63,Low,4,"-33.919505, 151.257857","2021-09-21 13:00:03"
12,100,CleanFLEX-FB2000002008AC17,Low,19,"-33.91947, 151.257542","2021-09-21 13:00:03"
13,95,CleanFLEX-FB2000002005AB68,Low,29,"-33.919477, 151.257681","2021-09-21 13:00:03"
14,95,CleanFLEX-FB2000002005AB67,Low,5,"-33.920816, 151.257022","2021-09-21 13:00:03"
15,95,CleanCUBE-A1807111808AA01,Low,0,NULL,"2021-09-21 13:00:03"
16,100,CleanFLEX-FB2000002008AC07,"Half Full",36,"-33.919555, 151.258164","2021-09-21 13:00:03"
17,95,CleanFLEX-FB2000002008AC08,Low,17,"-33.919477, 151.257681","2021-09-21 13:00:03"
18,100,CleanFLEX-FB2000001911AA90,Full,100,NULL,"2021-09-21 13:00:03"
19,95,CleanCUBE-A1905081905AA26,Low,10,NULL,"2021-09-21 13:00:03"
